self_employed,income_annum,loan_amount,loan_term,cibil_score,assets,loan_status
Yes,705313,1832890,10,773,659269,Approved
No,780241,982930,15,707,1140995,Approved
Yes,311358,2087630,15,716,1392039,Rejected
No,1048845,2730380,15,780,756436,Approved
Yes,678429,2924900,10,681,1029120,Rejected
Yes,508092,2022490,20,760,1326086,Rejected
No,621482,2249010,15,734,1240682,Rejected
No,453074,1569340,10,676,1221402,Rejected
No,793580,1104690,15,718,788857,Approved
No,881004,2237070,15,749,974577,Approved
Yes,616246,2135210,10,684,1086306,Rejected
No,668015,3778890,15,707,1621898,Rejected
No,357017,1226820,20,784,619181,Rejected
No,908541,2409950,10,572,1240980,Rejected
Yes,569058,981220,15,676,1263643,Rejected
Yes,563030,2764840,20,822,1341820,Rejected
Yes,790892,3173900,15,707,687775,Rejected
No,1045534,1737170,15,702,1038999,Approved
No,928426,2539710,10,659,478030,Rejected
No,528892,2014290,15,744,720800,Rejected
No,729150,1761210,15,705,1038685,Approved
No,921153,2529020,10,749,530443,Approved
No,825739,1886350,10,595,935783,Rejected
No,809675,2878250,15,769,1081614,Rejected
Yes,749742,1796470,10,747,394796,Approved
No,743771,1497390,10,652,666693,Rejected
No,440010,1101220,10,688,1293958,Rejected
No,677073,1313060,10,661,611338,Rejected
No,1052851,1534720,10,705,840565,Approved
Yes,322367,2445820,15,724,1430849,Rejected
Yes,621591,2791850,15,758,544541,Rejected
No,195920,2164290,20,812,850486,Rejected
No,853878,2793940,10,798,1046016,Approved
Yes,1065350,2767230,20,782,898417,Approved
Yes,943050,2597960,20,693,1125607,Rejected
No,369587,1225220,15,699,774055,Rejected
Yes,626415,1124130,15,781,770798,Approved
No,881586,2202120,10,744,1600740,Approved
No,577291,2044600,15,693,1006521,Rejected
No,692680,2592280,15,771,961435,Rejected
No,262436,1894990,20,666,1305236,Rejected
Yes,617154,3145370,15,731,1367440,Rejected
Yes,486235,2662750,10,750,1195170,Rejected
No,551913,1050350,10,723,783186,Approved
No,668488,2180290,20,640,934142,Rejected
No,354783,2455010,15,697,1146388,Rejected
No,681411,1989920,20,670,960183,Rejected
No,945045,1706110,15,730,1152289,Approved
No,663288,2702200,20,768,575714,Rejected
No,753114,2280690,10,741,1221076,Approved
No,575213,2366590,15,784,555889,Rejected
Yes,513781,1936950,15,809,1094093,Rejected
Yes,591640,2892670,10,721,879673,Rejected
No,548461,1714910,20,791,983591,Approved
No,749667,1902600,15,684,1908642,Rejected
No,793381,2408270,15,676,867691,Rejected
No,491465,2495650,20,754,931602,Rejected
No,836128,2202690,10,710,876822,Approved
No,760469,1807820,10,757,440381,Approved
Yes,705990,2868930,15,660,945817,Rejected
Yes,614074,2170180,20,754,1044161,Rejected
No,484302,2775400,10,713,1425053,Rejected
No,681337,2535950,15,716,1126375,Rejected
No,889896,1217560,10,710,1637690,Approved
No,944926,2558580,15,709,948526,Approved
No,846721,2157450,20,793,776372,Approved
No,744954,1365310,15,779,420886,Approved
No,1010440,1511840,15,760,563505,Approved
No,1040774,2220290,20,676,1386589,Rejected
No,969410,2615660,15,821,847527,Approved
No,334669,615900,15,708,1034964,Approved
No,959007,2254270,10,742,544542,Approved
No,1053932,2758080,15,755,544679,Rejected
Yes,902609,2221740,20,620,765034,Rejected
Yes,750713,2447630,15,624,1012882,Rejected
No,717815,2468950,20,690,1145410,Rejected
No,581779,2680880,10,705,430975,Rejected
No,614138,2266560,10,647,1122840,Rejected
No,1074134,1249250,15,729,967200,Approved
Yes,280988,903650,10,718,931471,Approved
No,721860,1911910,20,637,1112406,Rejected
Yes,626601,2722020,10,655,960294,Rejected
No,707610,2053220,15,712,796271,Approved
No,748328,2934000,15,729,1111259,Rejected
No,319796,1714370,15,679,739834,Rejected
No,582307,1661170,20,736,1733132,Approved
No,933960,3213530,10,724,1414556,Rejected
No,894467,1836520,10,732,1090457,Approved
No,828237,3326200,20,768,1019512,Rejected
No,652735,2637470,10,749,1479054,Rejected
Yes,1062932,732910,20,681,641303,Rejected
No,1091299,2682790,10,681,955049,Rejected
No,1150450,1439250,15,617,728049,Rejected
No,870967,2832900,15,804,749653,Approved
Yes,626667,1730310,15,748,473285,Approved
No,349207,1745970,10,680,632659,Rejected
No,834837,2063030,15,675,829497,Rejected
No,656019,2063530,15,682,1344087,Rejected
No,697848,1859540,20,687,446145,Rejected
No,547304,2465310,15,739,1271262,Rejected
Yes,942283,2366320,15,642,928795,Rejected
No,1281976,3287320,10,817,1482276,Approved
No,774654,2027520,10,794,1454615,Approved
No,947003,2401150,10,661,1309896,Rejected
No,625677,2796140,15,720,1191304,Rejected
Yes,748054,2807840,15,723,1419038,Rejected
Yes,829527,1948160,20,796,697112,Approved
No,546670,2584300,15,745,992872,Rejected
No,847261,2270490,20,676,800412,Rejected
No,686259,1451210,15,689,534170,Rejected
Yes,390196,2113470,10,703,469392,Rejected
No,812932,2927830,20,715,923537,Rejected
Yes,674783,2634790,15,811,944941,Rejected
Yes,855072,2695790,15,669,672824,Rejected
No,794353,2337530,20,726,926244,Approved
Yes,837184,5663480,10,679,1092645,Rejected
Yes,684433,1926950,10,812,690810,Approved
Yes,733429,3068290,10,676,1219984,Rejected
No,716817,1985100,20,774,1359066,Approved
No,609464,1535420,10,726,666961,Approved
No,639266,2552170,15,756,533331,Rejected
No,866415,2700780,20,659,1221527,Rejected
No,791847,2469620,15,738,1304585,Approved
No,396416,3147930,20,650,715413,Rejected
No,1162264,3334930,15,717,1245489,Approved
No,790331,2144040,10,757,630873,Approved
Yes,733584,2382250,15,709,746843,Approved
No,635051,1572010,20,710,965321,Approved
No,646769,2162840,20,707,1800387,Rejected
No,934198,-271740,15,699,660292,Rejected
No,745169,2091850,20,635,896822,Rejected
Yes,829949,1473900,10,639,1656523,Rejected
Yes,295323,2307330,10,731,1186644,Rejected
Yes,649815,738990,15,798,923185,Approved
No,982538,1953690,10,743,1768824,Approved
No,656661,927620,20,606,906659,Rejected
No,611835,2228830,10,732,980444,Rejected
Yes,644876,2165980,15,798,1356688,Rejected
No,961087,987560,15,688,922934,Rejected
No,843242,1893460,15,806,1485194,Approved
No,1005073,2150990,15,708,588639,Approved
No,606438,1688020,10,709,579783,Approved
Yes,1028068,2224410,20,685,576591,Rejected
Yes,846474,1224680,15,711,1245060,Approved
Yes,674002,1514540,10,865,434137,Approved
Yes,906238,1489090,20,729,808011,Approved
No,807645,2548600,20,786,1680533,Approved
No,801553,1016750,20,769,887174,Approved
Yes,735761,2267170,15,768,1422205,Approved
No,756011,1358560,10,797,1062769,Approved
Yes,965960,2882620,15,764,1303501,Approved
No,853252,1876690,10,673,1391368,Rejected
No,255107,520280,10,661,1368299,Rejected
No,553249,2266120,20,736,646240,Rejected
No,634462,1997250,20,756,1415070,Approved
No,663276,1661820,15,725,224570,Rejected
No,637882,1656580,15,738,656673,Approved
No,1003596,3153700,20,810,1343456,Approved
No,513760,2011750,10,701,964987,Rejected
No,1035431,1450330,10,799,1095067,Approved
Yes,711047,441120,15,745,1319677,Approved
Yes,792874,1757280,10,767,883833,Approved
Yes,399707,1711550,10,703,1116377,Rejected
No,763750,1849080,10,649,1404166,Rejected
Yes,621079,1882800,15,766,1235396,Approved
No,684985,2710200,10,718,793804,Rejected
No,420701,1940140,15,623,638976,Rejected
No,976856,1791370,10,760,1692660,Approved
Yes,1015925,2361050,10,772,940081,Approved
No,924646,1802740,15,663,1537033,Rejected
No,813645,1192910,10,717,802362,Approved
No,643107,2769630,10,736,587349,Rejected
No,983217,958200,15,760,1233214,Approved
No,568258,1163560,10,668,1042302,Rejected
Yes,470223,668240,10,703,1054714,Approved
No,521701,1683870,15,744,1241825,Approved
No,638427,1771720,20,719,844856,Approved
No,813107,785760,15,809,1384433,Approved
Yes,448315,1634030,15,693,666742,Rejected
No,520658,1909970,10,783,744030,Rejected
No,1293608,3613770,10,716,665038,Rejected
Yes,465265,3543490,15,703,1613791,Rejected
No,747949,1284410,15,832,1370469,Approved
No,1130762,1268970,10,691,1400527,Rejected
No,703061,2168360,10,793,1323550,Approved
No,526329,2814210,10,634,1601171,Rejected
No,545176,2040500,20,765,597881,Rejected
No,904757,223920,20,750,1694167,Approved
No,724287,1214560,15,742,564897,Approved
No,1111899,1785750,20,676,1978388,Rejected
Yes,911836,936710,20,677,1439210,Rejected
No,433031,3257630,10,673,1099583,Rejected
No,526040,1656650,15,687,1460345,Rejected
No,820007,2176490,15,693,961849,Rejected
Yes,736294,3890330,15,749,1155653,Rejected
Yes,893462,3055650,15,702,1142253,Rejected
No,799888,1009330,15,756,1259539,Approved
No,643569,570520,15,755,1469050,Approved
No,482966,966970,15,772,1825980,Approved
No,1103107,2059550,15,699,1605231,Rejected
No,843417,1101910,15,711,1466643,Approved
Yes,458345,1987060,15,738,1204314,Rejected
Yes,523710,1405270,15,713,1282212,Approved
No,905483,1842020,10,717,341576,Rejected
No,755132,3169900,20,713,926429,Rejected
Yes,608657,3248770,10,751,1346050,Rejected
No,929993,1662820,15,734,679121,Approved
Yes,368692,1282050,15,728,1061099,Rejected
No,536950,3283140,10,714,1454486,Rejected
Yes,1150130,2020980,10,715,992615,Approved
No,469914,2096400,10,725,1059579,Rejected
No,649781,2950670,15,722,494164,Rejected
Yes,591284,2337840,10,751,1102247,Rejected
Yes,672421,2700300,10,741,1534903,Rejected
No,662744,1804280,20,750,1301966,Approved
No,1001864,1498140,10,749,1066998,Approved
No,678492,1498600,10,754,504541,Approved
No,614598,2807920,15,754,1303660,Rejected
No,577279,870310,15,783,970818,Approved
No,797913,2982300,15,739,409539,Rejected
No,937023,1379000,20,691,1064916,Rejected
No,787684,2089970,15,691,831881,Rejected
No,976206,2546800,20,816,1589914,Approved
Yes,975082,2685710,10,733,1356391,Approved
No,454112,1329860,10,647,893831,Rejected
No,609882,1223350,20,800,1182705,Approved
No,635257,783160,15,643,679517,Rejected
No,753755,3092900,10,633,1483398,Rejected
No,716771,2503800,15,679,1257206,Rejected
No,1005960,3197950,10,668,688607,Rejected
No,617000,851220,15,670,1279918,Rejected
No,679046,2103240,10,757,2494062,Approved
No,755115,1395320,10,679,1429818,Rejected
Yes,647729,508620,20,682,576346,Rejected
No,846732,1232870,10,771,754333,Approved
No,489712,1542700,15,707,764215,Approved
Yes,934856,2055380,20,618,1620815,Rejected
No,842496,1674340,10,771,512821,Approved
No,792268,2511130,15,684,748551,Rejected
No,228807,2419020,10,674,897447,Rejected
No,745697,1502140,20,802,870586,Approved
No,738004,2644120,10,759,513780,Rejected
No,925037,1685230,10,754,458634,Approved
Yes,877835,1864730,15,727,411262,Approved
No,586868,1948570,20,754,1288819,Approved
No,697934,877730,15,791,1961050,Approved
No,655436,2174490,15,663,645939,Rejected
No,278799,1349580,10,736,713050,Rejected
Yes,889990,588620,10,703,646485,Approved
No,507907,997020,20,811,1493603,Approved
No,871411,2855880,15,751,1323395,Approved
Yes,1266062,2501920,10,727,992229,Approved
No,838568,1793990,10,717,844381,Approved
Yes,372432,718950,10,663,1178842,Rejected
Yes,487096,3209110,15,760,1423226,Rejected
No,463454,2410750,20,668,1148538,Rejected
No,487043,2060270,10,798,1333490,Rejected
No,558872,2065290,10,688,461049,Rejected
No,843547,2629190,10,722,1260519,Approved
Yes,888022,2744100,10,713,1201985,Approved
No,105291,1794330,10,703,837865,Rejected
No,764042,1906050,20,670,956820,Rejected
No,350033,1379090,15,704,1042624,Rejected
No,639591,2093080,15,724,995157,Approved
No,723428,3515940,15,670,900570,Rejected
No,625178,2105860,20,722,1508534,Rejected
Yes,335653,2446280,15,655,1146839,Rejected
No,919772,1894350,15,693,1351956,Rejected
No,655189,2498720,15,744,1539075,Rejected
Yes,668768,2997040,10,727,124914,Rejected
No,1018575,2404940,10,684,2041568,Rejected
Yes,1058651,2281340,10,737,1091032,Approved
No,597230,3131930,15,737,747760,Rejected
Yes,899374,1771160,20,661,1264871,Rejected
No,852699,615410,15,678,130878,Rejected
No,558127,1743290,20,709,1077412,Approved
No,748165,2207670,15,753,1332347,Approved
Yes,623866,1292830,15,788,1069208,Approved
Yes,801294,2474990,15,735,1500392,Approved
No,727322,2138380,10,715,605917,Approved
Yes,1106516,1079770,15,682,384243,Rejected
No,696954,2162980,10,804,978296,Approved
No,836430,1701840,10,731,436336,Approved
Yes,607811,2575240,10,759,1057672,Rejected
No,506024,1332480,15,669,1299370,Rejected
No,679609,2354890,15,668,1418008,Rejected
No,611787,1164060,20,841,985701,Approved
No,705326,788280,15,712,1388182,Approved
Yes,957704,2081970,15,740,1042141,Approved
No,731523,2172240,15,791,744039,Approved
Yes,1247666,3063400,15,715,1521198,Approved
No,786333,1656550,10,597,1749780,Rejected
No,732859,2606890,10,776,374584,Rejected
No,712327,1082130,15,739,615008,Approved
No,753050,1352570,15,717,813885,Approved
No,501884,683790,15,799,1286423,Approved
Yes,787347,2143380,15,726,545980,Approved
No,857783,2321580,15,733,1041522,Approved
No,599193,1152860,10,755,354576,Approved
No,749136,2116500,10,759,917897,Approved
No,831697,1862080,10,724,1917712,Approved
No,427056,1124630,15,739,705459,Approved
Yes,800698,2209500,15,687,1004540,Rejected
No,863766,2024530,15,693,953369,Rejected
No,792888,2991010,20,635,1248634,Rejected
No,721113,2052420,20,784,1347603,Approved
No,525118,1388010,10,819,1202355,Approved
Yes,684173,1859070,10,659,1176724,Rejected
No,521059,2177990,15,752,1319764,Rejected
No,650208,2470330,15,742,690485,Rejected
Yes,667474,1827770,15,707,629422,Approved
Yes,576416,1938840,15,682,292272,Rejected
No,794274,1134810,15,759,1164627,Approved
No,718438,2334410,10,664,1047368,Rejected
No,255592,1392680,10,659,918303,Rejected
No,855642,2887040,10,704,386074,Rejected
Yes,1086191,1252290,15,782,671079,Approved
No,822983,471790,10,671,834912,Rejected
No,403186,2179040,15,678,740621,Rejected
Yes,899555,113680,10,817,1091327,Approved
No,435221,2758840,15,677,1255457,Rejected
No,625070,511520,15,762,1307697,Approved
No,687520,2410150,10,758,951974,Rejected
No,749415,2407460,15,735,1342424,Approved
Yes,273645,2009800,20,758,841729,Rejected
No,519878,983440,20,763,1386921,Approved
Yes,609348,2254730,15,781,1193462,Rejected
No,754666,3271270,15,781,1357182,Rejected
No,922138,2699440,10,732,1640432,Approved
No,779660,2186880,10,787,1468162,Approved
No,747504,2484590,15,716,991081,Approved
No,472640,2957050,20,674,1056380,Rejected
No,1068439,1160390,10,738,815795,Approved
No,1203018,2648510,15,694,452425,Rejected
No,910636,1714400,15,707,1006512,Approved
No,541004,412610,15,737,1470743,Approved
No,727988,2229630,15,656,652041,Rejected
No,799281,2113190,10,629,925767,Rejected
No,998671,1968800,10,787,1354338,Approved
Yes,903775,1356240,10,706,706897,Approved
No,586716,445490,10,849,628883,Approved
No,943722,3005850,10,718,1035995,Approved
No,705750,1933950,15,692,1438600,Rejected
Yes,1094952,1897100,10,696,982262,Rejected
Yes,914511,2384470,20,717,601197,Approved
No,795018,2450540,20,754,1100760,Approved
Yes,908876,690840,10,770,1588890,Approved
Yes,744608,1342710,15,764,374245,Approved
No,512807,1564400,10,647,954809,Rejected
Yes,835539,450370,20,628,1158110,Rejected
No,887836,2101820,20,694,1064402,Rejected
No,1005071,2837160,20,700,1143892,Approved
No,984219,2791520,15,682,1816411,Rejected
Yes,666031,2682780,20,713,1872531,Rejected
No,1022754,3114280,20,746,1148886,Approved
Yes,488135,2150290,10,688,1724735,Rejected
No,968257,1630510,15,642,458658,Rejected
Yes,643940,1610920,15,750,754796,Approved
No,493217,738720,20,759,970560,Approved
No,616980,2879860,20,645,656049,Rejected
No,741487,2925920,15,681,746140,Rejected
No,1024778,2758690,10,686,664099,Rejected
No,892931,2902740,15,687,1360952,Rejected
Yes,273762,2100820,15,764,930807,Rejected
No,728706,2428610,15,717,1921732,Approved
No,834296,2184040,10,733,598585,Approved
No,678281,2101070,10,710,1637816,Approved
No,754925,3505230,10,736,1299328,Rejected
No,1277197,1204600,10,778,1088715,Approved
No,909406,2243980,15,653,1222450,Rejected
Yes,743293,2802600,20,716,550770,Rejected
Yes,747302,1645120,20,786,1179396,Approved
No,628634,2642020,20,692,1362248,Rejected
No,610803,1901360,20,702,438071,Approved
No,951462,2013580,15,795,837812,Approved
No,994536,2307030,10,583,1276604,Rejected
No,469259,2204940,15,725,802273,Rejected
No,980555,1816420,15,685,935997,Rejected
No,823546,1940380,20,651,868071,Rejected
No,1071380,3274030,10,715,1441090,Approved
Yes,597975,2139310,15,744,1363793,Rejected
No,888616,1735410,20,754,764128,Approved
No,931378,3313800,20,765,1093792,Rejected
Yes,680844,1049580,10,702,897952,Approved
No,723621,1738540,20,737,1746443,Approved
No,841454,2703190,10,797,830815,Approved
No,388180,1839490,20,694,1316255,Rejected
No,912637,1743200,10,625,194951,Rejected
No,816212,2355790,10,668,836339,Rejected
No,755604,2256450,15,757,1423060,Approved
No,979831,1909160,15,856,1147746,Approved
No,756404,2115970,15,734,1250323,Approved
No,722779,1828820,10,816,580786,Approved
No,831120,2120730,15,725,1516649,Approved
Yes,600798,1281940,20,747,500916,Approved
Yes,716359,2369260,20,752,434469,Rejected
Yes,559539,2978460,15,717,782990,Rejected
Yes,642404,3910670,10,652,994943,Rejected
No,594377,1892170,15,794,1598851,Approved
No,947763,2160940,15,664,793052,Rejected
Yes,586127,2258960,10,630,422584,Rejected
No,684195,713020,10,748,880958,Approved
No,679716,2215450,20,694,813189,Rejected
No,961423,4265340,15,610,803078,Rejected
No,661423,3934780,15,708,919613,Rejected
No,346327,2193230,10,805,807472,Rejected
Yes,1060137,2145630,15,747,1202361,Approved
No,564281,2011870,15,714,1514304,Rejected
Yes,763573,1490580,15,740,682738,Approved
No,739056,1896400,15,733,526253,Approved
No,468181,1440230,15,698,585744,Rejected
No,878776,2569280,15,675,1137816,Rejected
No,612450,2071170,15,735,1158070,Rejected
No,1063252,2552670,10,704,1025506,Approved
Yes,378534,2405050,15,741,1088059,Rejected
No,806428,2651580,15,703,1570051,Approved
Yes,829488,998500,10,741,1526976,Approved
No,671500,1918790,15,744,340960,Rejected
Yes,723406,952140,10,788,9772,Rejected
Yes,565611,1781600,10,724,1074582,Approved
Yes,717274,696640,10,741,578390,Approved
Yes,838244,1253700,10,729,921872,Approved
Yes,830705,3011520,10,857,607426,Rejected
No,803518,2095400,10,714,1037342,Approved
No,523960,3576910,10,632,64388,Rejected
No,891519,2427390,15,740,1222297,Approved
No,1010487,1315260,15,741,1251210,Approved
No,652671,2931770,15,744,836538,Rejected
No,976358,2837680,15,689,869807,Rejected
Yes,550216,3850420,10,670,766934,Rejected
No,388015,3631400,10,718,539226,Rejected
No,884414,1547110,20,730,1220785,Approved
No,888695,2758750,10,720,1409267,Approved
Yes,832832,1758520,10,838,562973,Approved
No,478890,2255070,15,791,440446,Rejected
No,770783,1823900,20,753,724852,Approved
Yes,967228,1083130,10,720,411251,Approved
Yes,881668,2930780,10,709,830890,Approved
Yes,905201,3633540,10,759,327301,Rejected
No,591075,1244090,20,709,2069221,Approved
No,919081,998380,15,740,1077068,Approved
No,775171,1890800,10,762,936411,Approved
No,888910,2585140,20,765,1631371,Approved
Yes,931491,1046840,20,722,1186862,Approved
No,345442,3676770,15,744,1072633,Rejected
No,586524,600260,15,700,1106790,Approved
Yes,652911,920020,20,771,595353,Approved
No,668857,2887600,20,752,880501,Rejected
No,830864,1883750,10,682,-92975,Rejected
No,492986,1590920,20,760,1708889,Approved
No,964743,1090610,15,729,1050467,Approved
Yes,368281,859080,15,810,-76787,Rejected
No,823638,2155090,10,770,1232462,Approved
No,796088,3564340,15,779,1287734,Rejected
No,752374,2505100,15,664,1640281,Rejected
Yes,892086,3789360,20,675,943897,Rejected
No,799214,2248940,15,768,472080,Approved
No,568047,3141820,10,713,442436,Rejected
No,831306,1701050,20,701,491149,Approved
Yes,910501,2378490,20,736,1074161,Approved
No,623443,2850740,10,645,1331340,Rejected
Yes,339015,2756240,15,677,508416,Rejected
Yes,643394,1483320,15,742,1561536,Approved
Yes,846281,1746250,10,663,1272308,Rejected
No,758348,1925290,10,727,1097925,Approved
Yes,436203,2828790,10,730,1363379,Rejected
No,475863,2439020,10,703,127480,Rejected
Yes,687612,1839120,20,647,450044,Rejected
No,817890,2358900,10,780,459838,Rejected
Yes,962815,2923740,15,714,1066874,Approved
No,934560,854480,20,721,1001686,Approved
Yes,657941,1718350,10,653,1767135,Rejected
No,634817,2398990,20,682,943813,Rejected
Yes,766680,1633390,20,759,63063,Rejected
No,499537,759240,20,752,734476,Approved
No,850091,1750620,15,754,829752,Approved
Yes,718963,2890790,10,767,1082581,Rejected
Yes,746618,1692670,15,802,433973,Approved
Yes,765508,2033680,15,719,1162168,Approved
Yes,783101,2986350,10,711,586364,Rejected
No,718768,2325110,20,689,672644,Rejected
Yes,426494,1442970,10,785,1025684,Rejected
No,707939,866130,10,676,1073777,Rejected
No,887824,712770,15,726,780135,Approved
No,710318,1344230,10,757,622743,Approved
No,577298,1539960,15,817,1190337,Approved
Yes,623098,2867760,20,687,1706619,Rejected
No,760394,1732980,15,682,709954,Rejected
Yes,985763,1344870,15,756,1046575,Approved
No,1023146,2143780,10,727,1542556,Approved
No,769322,1166950,20,695,820202,Rejected
No,1105341,1726720,15,854,751518,Approved
Yes,706283,1714400,10,718,576361,Approved
No,583347,-456330,20,724,832477,Approved
Yes,685311,503700,20,686,931912,Rejected
No,701139,2278650,15,722,581084,Approved
No,509392,2068430,10,689,1409159,Rejected
No,1148842,762410,10,740,661030,Approved
Yes,667630,828530,15,699,606173,Rejected
No,656199,2215250,15,781,1234090,Rejected
Yes,603694,1585050,20,715,974336,Approved
No,880424,3707070,20,684,603001,Rejected
No,771629,2576320,10,715,538262,Rejected
No,632125,1908040,20,707,728136,Approved
No,828069,2461730,10,782,504803,Approved
No,653533,1585250,15,729,868690,Approved
No,473714,2276790,10,734,921748,Rejected
No,596972,1515400,15,689,355223,Rejected
No,760043,2023370,20,619,1320330,Rejected
No,446302,2096620,15,709,1217885,Rejected
No,856897,2756050,10,693,286314,Rejected
No,491352,2663060,10,713,864569,Rejected
No,661495,2513680,15,665,1183823,Rejected
No,608358,2365260,15,749,1647807,Rejected
No,505576,2769000,10,678,812804,Rejected
Yes,754126,3300030,20,675,678832,Rejected
No,544943,1413180,15,749,1318231,Approved
No,818537,2009580,10,738,1174616,Approved
No,556906,1098180,20,757,940797,Approved
No,428364,1034040,10,761,642895,Approved
No,595816,2809000,15,744,1354646,Rejected
No,733815,4276910,10,657,1293514,Rejected
No,625059,1303100,10,683,1009878,Rejected
No,879790,1953810,10,809,1035005,Approved
No,683888,1860270,15,668,246518,Rejected
Yes,924855,2160640,10,720,969572,Approved
No,788799,2039000,15,752,775552,Approved
Yes,796295,1961780,15,670,204106,Rejected
No,586260,2036600,20,723,1238696,Rejected
Yes,744625,1097160,20,775,425855,Approved
No,687257,1038700,10,639,1399857,Rejected
No,515012,2483310,20,773,476127,Rejected
Yes,676979,1782510,10,804,1535674,Approved
No,855763,2390970,20,722,463950,Rejected
Yes,590731,767700,20,814,494220,Approved
Yes,627666,3666780,20,775,788512,Rejected
No,801156,2501480,20,651,907132,Rejected
No,715200,2257240,20,688,1284935,Rejected
No,867595,1333360,10,799,1457252,Approved
No,534258,1903410,15,738,888862,Rejected
Yes,704902,2094160,15,800,1334927,Approved
No,869335,2682910,10,707,1098848,Approved
No,233508,781120,15,757,1031593,Rejected
Yes,926814,2768210,15,774,928804,Approved
No,850294,997670,10,729,882317,Approved
No,738626,1427280,15,750,665767,Approved
Yes,1103296,2642500,15,745,1436795,Approved
No,883876,2072630,10,760,389076,Rejected
Yes,709462,1710770,15,705,1573972,Approved
No,986519,1968550,15,718,1407339,Approved
No,1064642,768850,10,617,486213,Rejected
No,1014429,1685940,20,778,809825,Approved
No,959682,2124570,20,767,36667,Rejected
No,1102566,2825410,10,650,1490502,Rejected
No,784225,1091420,10,750,1034931,Approved
No,512261,1319920,20,685,761549,Rejected
No,1130342,1060310,20,732,732170,Approved
No,383633,1425410,15,670,985648,Rejected
No,814430,2732660,20,740,1403080,Rejected
Yes,404683,1669650,15,691,842000,Rejected
Yes,640804,184700,20,641,1031623,Rejected
No,619810,2099790,10,665,1972122,Rejected
No,701436,1704230,20,641,228693,Rejected
Yes,991654,1005410,10,763,968277,Approved
Yes,515574,1819220,20,716,1274696,Rejected
No,661271,2515710,10,678,1390677,Rejected
No,1094220,1292110,10,797,540423,Approved
No,1024036,3411710,20,685,664821,Rejected
No,662146,3215000,15,671,-181481,Rejected
No,977606,1626860,15,730,565184,Approved
No,696857,1377620,15,630,844795,Rejected
No,822686,2805980,15,777,1203871,Rejected
Yes,848353,935840,20,691,1128920,Rejected
No,900088,2096610,10,821,1067015,Approved
Yes,1089419,2438980,15,743,877377,Approved
No,819351,449460,15,775,1779927,Approved
No,657083,1069390,10,743,291308,Approved
Yes,715795,1496740,15,758,965696,Approved
No,735181,2086730,15,756,1079438,Approved
No,1110109,1762850,20,730,1111869,Approved
No,704483,1405500,15,683,1166668,Rejected
No,677623,2529070,10,683,973383,Rejected
Yes,566540,1941140,20,718,917646,Rejected
Yes,153407,1082280,15,698,304455,Rejected
Yes,441978,261880,15,732,1719489,Approved
